;Player;Country;Goals;Active
0;Ciaran Clark;Ireland;1;True
1;Merih Demiral;Turkey;1;True
2;Martin Dúbravka;Slovakia;1;True
3;Dejan Govedarica;Yugoslavia;1;False
4;Raphaël Guerreiro;Portugal;1;True
5;Lukáš Hrádecký;Finland;1;True
6;Mats Hummels;Germany;1;True
7;Glen Johnson;England;1;False
8;Jorge Andrade;Portugal;1;False
9;Simon Kjær;Denmark;1;True
10;Juraj Kucka;Slovakia;1;True
11;Gareth McAuley;Northern Ireland;1;False
12;Anton Ondruš;CSSR;1;False
13;Pedri;Spain;1;True
14;Luboslav Penev;Bulgaria;1;False
15;Rúben Dias;Portugal;1;True
16;Birkir Sævarsson;Iceland;1;False
17;Wojciech Szczęsny;Poland;1;True
18;Igor Tudor;Croatia;1;False
19;Denis Zakaria;Switzerland;1;True
