;Euro;Country;Player;Goals
0;2020;Czech Republic;Patrik Schick;5
1;2020;Portugal;Cristiano Ronaldo;5
2;2016;France;Antoine Griezmann;6
3;2012;Croatia;Mario Mandžukić;3
4;2012;Germany;Mario Gómez;3
5;2012;Italy;Mario Balotelli;3
6;2012;Spain;Fernando Torres;3
7;2012;Portugal;Cristiano Ronaldo;3
8;2012;Russia;Alan Dzagoev;3
9;2008;Spain;Villa;4
10;2004;Czech Republic;Milan Baros;5
11;2000;Serbia;Savo Milosevic;5
12;2000;Netherlands;Patrick Kluivert;5
13;1996;England;Alan Shearer;5
14;1992;Sweden;Tomas Brolin;3
15;1992;Germany;Karlheinz Riedle;3
16;1992;Denmark;Henrik Larsen;3
17;1992;Netherlands;Dennis Bergkamp;3
18;1988;Netherlands;Marco van Basten;5
19;1984;France;Michel Platini;9
20;1980;Germany;Klaus Allofs;3
21;1976;Germany;Dieter Müller;4
22;1972;Germany;Gerd Müller;4
23;1968;Serbia;Dragan Dzajic;2
24;1964;Hungary;Dezsö Novak;2
25;1964;Spain;Pereda;2
26;1960;Russia;Viktor Ponedelnik;2
27;1960;Russia;Valentin Ivanov;2
28;1960;Serbia;Milan Galic;2
29;1960;France;Francois Heutte;2
30;1960;Croatia;Drazen Jerkovic;2
